path,width,height,orientation,brightness,saturation_proxy,clip_low_pct,clip_high_pct,r_mean,g_mean,b_mean,size_bytes,fast_sha1
/Volumes/未命名/大模型/原图1/AAA04090_副本.JPG,4000,2666,landscape,103.86,8.35,0.0,0.0,102.74,94.24,114.61,4366267,6fac8cdbb359594deb6d58d42f11ca7684b15c05
/Volumes/未命名/大模型/原图1/483A6171.JPG,6720,4480,landscape,54.28,4.89,6.133,0.094,60.42,48.46,53.98,10634012,64340121a5004550a95f33b679e9a1478da39691
/Volumes/未命名/大模型/原图1/DAP08281.JPG,2000,1333,landscape,131.0,44.2,0.007,0.002,193.37,103.4,96.21,1132546,4adaeb0c647073ee135f0eb7802ff72ab31e1d7f
/Volumes/未命名/大模型/原图1/DAP07579.JPG,2000,1333,landscape,117.47,11.99,0.023,0.131,133.56,104.79,114.07,906203,3e0d9e5f9724391b468ae5905997383c83506748
/Volumes/未命名/大模型/原图1/DAP04225.JPG,2000,1333,landscape,77.09,6.59,0.63,0.002,84.68,77.98,68.62,774509,c9eb0dd4f8818c52d591a2af1372637527ce81d0
/Volumes/未命名/大模型/原图1/DAP07622.JPG,2000,1333,landscape,79.12,3.94,3.182,2.875,79.4,74.16,83.8,980095,8529d1643e486e42c0e589f049b42c475897d29a
/Volumes/未命名/大模型/原图1/AAA01442.JPG,2666,4000,portrait,138.77,9.76,0.0,0.0,143.5,125.18,147.64,2281071,57acbacc766bb5471d7f6b0e68b8f28d0bb0ae50
/Volumes/未命名/大模型/原图1/DAP09261 2.JPG,2000,1333,landscape,48.18,4.2,0.887,0.007,48.62,53.09,42.84,1517066,f0dce1b1676472a7918ad41c4c6f1aff29c2c19a
/Volumes/未命名/大模型/原图1/DSC03909(2).JPG,2000,1333,landscape,161.79,14.48,0.152,0.756,141.79,168.0,175.58,2703619,7cb1d468a48ebb20f3a301c2848955ba71efc23b
/Volumes/未命名/大模型/原图1/DSC02715.JPG,2000,1333,landscape,123.74,11.64,0.14,4.766,139.98,117.98,113.28,2839713,2ab4846ec1f13fb7a9fbf9540fdfdbfb6d521683
/Volumes/未命名/大模型/原图1/DAP08678.JPG,2000,1333,landscape,108.49,6.1,0.935,0.023,116.65,106.84,101.99,1026805,448399f4353c4a9697213b7c2cfbbca0321f4345
/Volumes/未命名/大模型/原图1/DAP00637 3.JPG,2000,1333,landscape,44.06,7.88,6.273,0.002,54.87,40.97,36.33,779369,6806d8bf3bde1730ab6df7a927ece9088fa0dca8
/Volumes/未命名/大模型/原图1/DAP02617(1).JPG,2000,1333,landscape,125.75,15.83,0.0,0.574,105.54,127.51,144.2,1071259,472fee38fe9d4b28fb08ee46cc6f1534a3f8287e
/Volumes/未命名/大模型/原图1/DAP00660.JPG,1333,2000,portrait,113.29,5.58,0.0,0.007,117.98,116.43,105.45,1638743,5141881a87adbb165dcc9dd9b85fe8669f9ce68a
/Volumes/未命名/大模型/原图1/DAP05593.JPG,2000,1333,landscape,130.12,1.98,0.085,0.062,132.83,129.38,128.15,1130831,018dcffe8b0778ef26269a4b28ed1892b416bb45
